id,question_en,original_answer,model_answer,extracted_original_answer,has_letters,is_substring,langdetect_code,hf_lang_code,spacy_lang_code,majority_code
56d7253b0d65d214001983d5,What actor did sign language for the National Anthem at Superbowl 50?,"{'text': ['Marlee Matlin'], 'answer_start': [117]}",Marlee Matlin,Marlee Matlin,True,True,,,,en
56d9c455dc89441400fdb7c4,Who did the Super Bowl 50 National Anthem?,"{'text': ['Lady Gaga'], 'answer_start': [49]}",Lady Gaga,Lady Gaga,True,True,,,,en
56d9c455dc89441400fdb7c5,How many Grammy Award's does the text say Lady Gaga has won?,"{'text': ['Six'], 'answer_start': [0]}",Six,Six,True,True,,,,en
56d9c455dc89441400fdb7c6,Who did the sign language of the National Anthem at Super Bowl 50?,"{'text': ['Marlee Matlin'], 'answer_start': [117]}",Marlee Matlin,Marlee Matlin,True,True,,,,en
56beca913aeaaa14008c946d,On what yard line did Carolina begin with 4:51 left in the game?,"{'text': ['24'], 'answer_start': [65]}",Carolina began at their own 24-yard line.,24,True,True,,,,en
56beca913aeaaa14008c946e,Who fumbled the ball on 3rd-and-9?,"{'text': ['Newton'], 'answer_start': [202]}",Newton,Newton,True,True,,,,en
56beca913aeaaa14008c946f,What Panther defender was called for holding on third down?,"{'text': ['Josh Norman'], 'answer_start': [620]}",Josh Ward,Josh Norman,True,False,en,en,en,en
56beca913aeaaa14008c9470,What player punched the ball in from the 2?,"{'text': ['Anderson'], 'answer_start': [674]}",Anderson punched the ball in from the 2 yard line.,Anderson,True,True,,,,en
56beca913aeaaa14008c9471,Who was the receiver on the successful 2-point conversion?,"{'text': ['Bennie Fowler'], 'answer_start': [748]}",Bennie Fowler,Bennie Fowler,True,True,,,,en
56d726b60d65d214001983ea,Who stripped the ball from Newton on a 3rd and nine?,"{'text': ['Miller'], 'answer_start': [167]}",Ward,Miller,True,False,so,en,so,so
56d726b60d65d214001983eb,Who recovered the strip ball?,"{'text': ['Ward'], 'answer_start': [302]}",Ward,Ward,True,True,,,,en
56d726b60d65d214001983ec,Which player was criticized for not jumping into the pile to recover the ball?,"{'text': ['Newton'], 'answer_start': [202]}",Newton,Newton,True,True,,,,en
56d726b60d65d214001983ed,"Which Panthers player got a penalty, which gave the Broncos a new set of downs?","{'text': ['Josh Norman'], 'answer_start': [620]}",Josh Norman,Josh Norman,True,True,,,,en
56d726b60d65d214001983ee,How much time was left in the game when Denver took the score to 24-10?,"{'text': ['3:08'], 'answer_start': [820]}",3:08,3:08,False,True,,,,en
56d9cb47dc89441400fdb832,What was the time on the clock when Carolina got the ball to their 24-yard line in the fourth quarter?,"{'text': ['4:51'], 'answer_start': [5]}",4:51,4:51,False,True,,,,en
56d9cb47dc89441400fdb833,What was the last name of the player who took the ball away from Newton late in the fourth quarter?,"{'text': ['Miller'], 'answer_start': [167]}",Newton,Miller,True,False,en,ur,en,en
56d9cb47dc89441400fdb834,What is the last name of the player who finally recovered the ball Newton lost in the fourth quarter?,"{'text': ['Ward'], 'answer_start': [302]}",Ward,Ward,True,True,,,,en
56d9cb47dc89441400fdb835,How many plays was Denver kept out of the end zone after getting the ball from Newton?,"{'text': ['three'], 'answer_start': [571]}",three,three,True,True,,,,en
56d9cb47dc89441400fdb836,What is the last name of the player who scored a 2-yard touchdown in the fourth quarter?,"{'text': ['Anderson'], 'answer_start': [674]}",Anderson,Anderson,True,True,,,,en
57339c16d058e614000b5ec5,What is the Saxon Garden in Polish?,"{'text': ['Ogród Saski'], 'answer_start': [11]}",Ogród Saski,Ogród Saski,True,True,,,,en
57339c16d058e614000b5ec6,Where was the Summer Theatre located?,"{'text': ['Saxon Garden'], 'answer_start': [28]}",Ogród Saski (the Saxon Garden),Saxon Garden,True,True,,,,en
57339c16d058e614000b5ec7,How long was the Summer Theatre in operation?,"{'text': ['1870 to 1939'], 'answer_start': [84]}",From 1870 to 1939,1870 to 1939,True,True,,,,en
57339c16d058e614000b5ec8,What was Warsaw's first literary cabaret?,"{'text': ['Momus'], 'answer_start': [161]}",Momus,Momus,True,True,,,,en
57339c16d058e614000b5ec9,"What theatre was the best example of ""Polish monumental theatre""?","{'text': ['Wojciech Bogusławski Theatre'], 'answer_start': [251]}",Wojciech Bogusławski Theatre,Wojciech Bogusławski Theatre,True,True,,,,en
5733a32bd058e614000b5f32,Who won the Ekstraklasa Championship in 2000?,"{'text': ['Polonia Warsaw'], 'answer_start': [20]}",Polonia Warsaw,Polonia Warsaw,True,True,,,,en
5733a32bd058e614000b5f33,When did Polonia Warsaw win the country's championship prior to 2000?,"{'text': ['1946'], 'answer_start': [175]}",Polonia Warsaw won the country's championship in 1946.,1946,True,True,,,,en
5733a32bd058e614000b5f34,How many times has Polonia won the cup?,"{'text': ['twice'], 'answer_start': [197]}",Twice,twice,True,True,,,,en
5733a32bd058e614000b5f35,Where is Polonia's home venue located?,"{'text': ['Konwiktorska Street'], 'answer_start': [247]}",Konwiktorska Street,Konwiktorska Street,True,True,,,,en
5733a32bd058e614000b5f36,Why was Polonia relegated from the country's top flight in 2013?,"{'text': ['disastrous financial situation'], 'answer_start': [388]}",financial situation,disastrous financial situation,True,False,it,ur,it,it
57338007d058e614000b5bda,What type of city has Warsaw been for as long as it's been a city?,"{'text': ['multi-cultural'], 'answer_start': [44]}",multicultural,multi-cultural,True,True,,,,en
57338007d058e614000b5bdb,What was Warsaw's population in 1901?,"{'text': ['711,988'], 'answer_start': [102]}","711,988","711,988",False,True,,,,en
57338007d058e614000b5bdc,"Of Warsaw's inhabitants in 1901, what percentage was Catholic?","{'text': ['56.2%'], 'answer_start': [122]}",56.2%,56.2%,False,True,,,,en
57338007d058e614000b5bdd,What percentage of Warsaw's population was Protestant in 1901?,"{'text': ['2.8%'], 'answer_start': [189]}",2.8%,2.8%,False,True,,,,en
57338007d058e614000b5bde,When were most of the places of religious worship destroyed in Warsaw?,"{'text': ['1944'], 'answer_start': [488]}",Warsaw Uprising of 1944,1944,True,True,,,,en
573380e0d058e614000b5be9,What is the basic unit of territorial division in Poland?,"{'text': ['commune'], 'answer_start': [54]}",Commune,commune,True,True,,,,en
573380e0d058e614000b5bea,What is the second level of territorial division in Poland?,"{'text': ['counties or powiats'], 'answer_start': [421]}",powiat,counties or powiats,True,False,pl,pl,pl,pl
573380e0d058e614000b5beb,In what districts are the registration numbers for cars all of the same type?,"{'text': ['Kraków'], 'answer_start': [1085]}",Warsaw,Kraków,True,False,so,pl,so,so
5733834ed058e614000b5c26,When was Warsaw's first stock exchange established?,"{'text': ['1817'], 'answer_start': [49]}",1817,1817,False,True,,,,en
5733834ed058e614000b5c27,What brought Warsaw's stock exchange to a stop?,"{'text': ['World War II'], 'answer_start': [82]}","subject
World War II",World War II,True,True,,,,en
5733834ed058e614000b5c28,When was Warsaw's stock exchange brought back to life?,"{'text': ['April 1991'], 'answer_start': [121]}","subject
April 1991",April 1991,True,True,,,,en
5733834ed058e614000b5c29,How many companies were listed on the WSE on August 2009?,"{'text': ['374'], 'answer_start': [361]}",374,374,False,True,,,,en
5733834ed058e614000b5c2a,Whose former headquarters was the WSE located in until 2000?,"{'text': [""Polish United Workers' Party""], 'answer_start': [573]}",Polish United Workers' Party (PZPR),,True,True,,,,en
56dde1d966d3e219004dad8d,Who upon arriving gave the original viking settlers a common identity?,"{'text': ['Rollo'], 'answer_start': [7]}",The people before Rollo's arrival maintained a similar identity to Picardy and Île-de-France.,Rollo,True,True,,,,en
56de0daecffd8e1900b4b595,What was the name of the leader ennobled by Henry III,"{'text': ['Drogo'], 'answer_start': [627]}",Henry III ennobled Drogo.,Drogo,True,True,,,,en
56de0daecffd8e1900b4b596,Who was Count of Melfi,"{'text': ['William Iron Arm'], 'answer_start': [432]}",Rainulf Drengot,William Iron Arm,True,False,de,en,de,de
56de0f6a4396321400ee257f,"Who was the Normans' main enemy in Italy, the Byzantine Empire and Armenia?","{'text': ['Seljuk Turks'], 'answer_start': [161]}","Pechenegs, Bulgars, and Seljuk Turks",Seljuk Turks,True,True,,,,en
56de10b44396321400ee2593,What was the name of the Norman castle?,"{'text': ['Afranji'], 'answer_start': [539]}",Afranji,Afranji,True,True,,,,en
56de10b44396321400ee2594,Who was the leader when the Franks entered the Euphrates valley?,"{'text': ['Oursel'], 'answer_start': [256]}",Oursel,Oursel,True,True,,,,en
56de10b44396321400ee2595,Who did the Normans team up with in Anatolia?,"{'text': ['Turkish forces'], 'answer_start': [20]}",Turkish forces,Turkish forces,True,True,,,,en
56de49564396321400ee277a,What continent are the Canarian Islands off the coast of?,"{'text': ['Africa'], 'answer_start': [219]}",Africa,Africa,True,True,,,,en
56dfa0d84a1a83140091ebb7,What year did Tesla die?,"{'text': ['1943'], 'answer_start': [399]}",1943,1943,False,True,,,,en
56dfa0d84a1a83140091ebb8,"What was named ""The Tesla"" in his honor?","{'text': ['SI unit of magnetic flux density'], 'answer_start': [529]}",SI unit of magnetic flux density,SI unit of magnetic flux density,True,True,,,,en
56dfa0d84a1a83140091ebb9,Where did Tesla live for much of his life?,"{'text': ['New York hotels'], 'answer_start': [334]}",New York hotels,New York hotels,True,True,,,,en
56dfa0d84a1a83140091ebba,What was Tesla's reputation in popular culture?,"{'text': ['mad scientist'], 'answer_start': [130]}",Archetypal mad scientist,mad scientist,True,True,,,,en
56e0bb9f7aa994140058e6cb,How did Tesla finance his work?,"{'text': ['His patents'], 'answer_start': [146]}","patents, income from royalties",His patents,True,False,en,en,en,en
56e0bb9f7aa994140058e6cc,What year did Tesla die?,"{'text': ['1943'], 'answer_start': [399]}",1943,1943,False,True,,,,en
56e0bb9f7aa994140058e6cd,What did the General Conference on Weights and Measures name after Tesla in 1960?,"{'text': ['SI unit of magnetic flux density'], 'answer_start': [529]}",tesla,SI unit of magnetic flux density,True,False,af,el,et,el
56e0bb9f7aa994140058e6ce,When did people once again start to show an interest in Tesla?,"{'text': ['1990s'], 'answer_start': [653]}",The 1990s,1990s,True,True,,,,en
56e0bb9f7aa994140058e6cf,Other than his scientific achievements what was Tesla famous for?,"{'text': ['showmanship'], 'answer_start': [44]}",showmanship,showmanship,True,True,,,,en
56dfb5777aa994140058e021,Who did Tesla partner with in 1886?,"{'text': ['Robert Lane and Benjamin Vail'], 'answer_start': [77]}",Robert Lane and Benjamin Vail,Robert Lane and Benjamin Vail,True,True,,,,en
56dfb5777aa994140058e022,What did lane and vail finance?,"{'text': ['Tesla Electric Light & Manufacturing'], 'answer_start': [176]}",Tesla Electric Light & Manufacturing,Tesla Electric Light & Manufacturing,True,True,,,,en
56dfb5777aa994140058e023,What did Tesla Electric Light & Manufacturing do?,"{'text': ['installed electrical arc light based illumination systems designed by Tesla'], 'answer_start': [226]}",installation of lighting systems,installed electrical arc light based illumination systems designed by Tesla,True,False,en,en,en,en
56dfb5777aa994140058e024,What did Tesla first receive after starting his company?,"{'text': ['patents'], 'answer_start': [374]}",First patent,patents,True,False,en,en,en,en
56dfb5777aa994140058e025,What was produced at tesla's company?,"{'text': ['electrical arc light based illumination systems'], 'answer_start': [236]}",Electrical arc light-based illumination systems,electrical arc light based illumination systems,True,True,,,,en
56e0d6cf231d4119001ac420,What were the names of Tesla's new partners?,"{'text': ['Robert Lane and Benjamin Vail'], 'answer_start': [77]}",Robert Lane and Benjamin Vail,Robert Lane and Benjamin Vail,True,True,,,,en
56e0d6cf231d4119001ac421,"When did the partnership between Tesla, Lane and Vail form?","{'text': ['1886'], 'answer_start': [71]}",In 1886,1886,True,True,,,,en
56e0d6cf231d4119001ac422,What was the name of the company the businessmen financed?,"{'text': ['Tesla Electric Light & Manufacturing'], 'answer_start': [176]}",Tesla Electric Light & Manufacturing,Tesla Electric Light & Manufacturing,True,True,,,,en
56e0d6cf231d4119001ac423,What did Tesla Electric Light & Manufacturing do?,"{'text': ['installed electrical arc light based illumination systems'], 'answer_start': [226]}",Installed lighting systems,installed electrical arc light based illumination systems,True,False,da,en,da,da
56e0d6cf231d4119001ac424,Who designed the illumination systems that Tesla Electric Light & Manufacturing installed?,"{'text': ['Tesla'], 'answer_start': [31]}",Tesla,Tesla,True,True,,,,en
56e0fc3f7aa994140058e877,When did Tesla attain his electrical transmitter patent?,"{'text': ['1900'], 'answer_start': [3]}",1900,1900,False,True,,,,en
56e0fc3f7aa994140058e878,Who first sent radio waves across the Atlantic?,"{'text': ['Guglielmo Marconi'], 'answer_start': [122]}",Guglielmo Marconi,Guglielmo Marconi,True,True,,,,en
56e0fc3f7aa994140058e879,When was Marconi's radio demonstration?,"{'text': ['1901'], 'answer_start': [203]}",1901,1901,False,True,,,,en
56e0fc3f7aa994140058e87a,When were Tesla's patents restored?,"{'text': ['1943'], 'answer_start': [476]}",In 1943,1943,True,True,,,,en
56e0fc3f7aa994140058e87b,A decision made by what entity restored Tesla's patents?,"{'text': ['Supreme Court of the United States'], 'answer_start': [484]}",Supreme Court of the United States,Supreme Court of the United States,True,True,,,,en
56e10aa5cd28a01900c674b3,How many possible bids for the prize were there in 1915?,"{'text': ['38'], 'answer_start': [108]}",One of thirty-eight.,38,True,False,en,en,en,en
56e10aa5cd28a01900c674b4,Who received a bid in 1915?,"{'text': ['Edison'], 'answer_start': [51]}",Edison,Edison,True,True,,,,en
56e10aa5cd28a01900c674b5,In what year did Tesla receive a Nobel Prize bid?,"{'text': ['1937'], 'answer_start': [182]}",1937,1937,False,True,,,,en
56e1254ae3433e1400422c66,What article was published in 1937?,"{'text': ['""A Machine to End War""'], 'answer_start': [113]}","""A Machine to End War""","""A Machine to End War""",True,True,,,,en
56e1254ae3433e1400422c67,Because of certain statements what was the believed state of his religious views?,"{'text': ['uncertain'], 'answer_start': [36]}",uncertain,uncertain,True,True,,,,en
56e1254ae3433e1400422c68,"In the article's title, what did the machine hope to end?","{'text': ['War'], 'answer_start': [131]}",a war,War,True,True,,,,en
56e16182e3433e1400422e28,What branch of theoretical computer science deals with broadly classifying computational problems by difficulty and class of relationship?,"{'text': ['Computational complexity theory'], 'answer_start': [0]}",Complexity Theory,Computational complexity theory,True,False,en,en,en,en
56e16182e3433e1400422e29,By what main attribute are computational problems classified utilizing computational complexity theory?,"{'text': ['inherent difficulty'], 'answer_start': [175]}",Inherent Difficulty,inherent difficulty,True,True,,,,en
56e16182e3433e1400422e2a,What is the term for a task that generally lends itself to being solved by a computer?,"{'text': ['computational problems'], 'answer_start': [133]}",Task that generally lends itself to being solved by a computer.,computational problems,True,False,en,en,en,en
56e181d9e3433e1400422fa0,"In a computational problem, what can be described as a string over an alphabet?","{'text': ['problem instance'], 'answer_start': [43]}",String over an alphabet,problem instance,True,False,da,en,da,da
56e181d9e3433e1400422fa1,What is the name of the alphabet is most commonly used in a problem instance?,"{'text': ['binary'], 'answer_start': [131]}",Binary Alphabet,binary,True,True,,,,en
56e181d9e3433e1400422fa2,What is another term for the string of a problem instance?,"{'text': ['bitstrings'], 'answer_start': [195]}",Binary string,bitstrings,True,False,en,en,en,en
56e181d9e3433e1400422fa3,"In the encoding of mathematical objects, what is the way in which integers are commonly expressed?","{'text': ['binary notation'], 'answer_start': [349]}",binary representation,binary notation,True,False,en,en,en,en
56e181d9e3433e1400422fa4,What is one way in which graphs can be encoded?,"{'text': ['adjacency matrices'], 'answer_start': [411]}",via their adjacency matrices,adjacency matrices,True,True,,,,en
56e1a0dccd28a01900c67a2e,How can function problems typically be restated?,"{'text': ['as decision problems'], 'answer_start': [190]}",n-ary equations,as decision problems,True,False,en,pt,en,en
56e1a0dccd28a01900c67a2f,"If two integers are multiplied and output a value, what is this expression set called?","{'text': ['set of triples'], 'answer_start': [284]}","Set of triples (a, b, c)",set of triples,True,True,,,,en
56e1b62ecd28a01900c67aa3,The time required to output an answer on a deterministic Turing machine is expressed as what?,"{'text': ['state transitions'], 'answer_start': [261]}",Total number of state transitions or steps.,state transitions,True,True,,,,en
56e1b62ecd28a01900c67aa4,Complexity theory classifies problems based on what primary attribute?,"{'text': ['difficulty'], 'answer_start': [695]}",Difficulty,difficulty,True,True,,,,en
56e1b62ecd28a01900c67aa5,What is the expression used to identify any given series of problems capable of being solved within time on a deterministic Turing machine?,"{'text': ['DTIME(f(n))'], 'answer_start': [873]}",DTIME,DTIME(f(n)),True,False,de,hi,de,de
56e1b62ecd28a01900c67aa6,What is the most critical resource measured to in assessing the determination of a Turing machine's ability to solve any given set of problems?,"{'text': ['time'], 'answer_start': [85]}",Space,time,True,False,ro,en,ro,ro
56e1ee4de3433e1400423210,What is the unproven assumption generally ascribed to the value of complexity classes?,"{'text': ['suspected to be unequal'], 'answer_start': [34]}",Many known complexity classes are suspected to be unequal.,suspected to be unequal,True,True,,,,en
56e1ee4de3433e1400423211,What is an expression that can be used to illustrate the suspected inequality of complexity classes?,"{'text': ['P ⊆ NP ⊆ PP ⊆ PSPACE'], 'answer_start': [102]}",P ⊆ NP ⊆ PP ⊆ PSPACE,P ⊆ NP ⊆ PP ⊆ PSPACE,True,True,,,,en
56e1ee4de3433e1400423212,"Where can the complexity classes RP, BPP, PP, BQP, MA, and PH be located?","{'text': ['between P and PSPACE'], 'answer_start': [269]}","P, NP, PP, PSPACE",between P and PSPACE,True,False,pl,hi,pl,pl
56e1ee4de3433e1400423214,What evidence between and among complexity classes would signify a theoretical watershed for complexity theory?,"{'text': ['Proving that any of these classes are unequal'], 'answer_start': [403]}",Proving inequality between and among complexity classes,Proving that any of these classes are unequal,True,False,en,en,en,en
56e7586d37bdd419002c3eb3,How common was the form of corporal punishment in the past?,"{'text': ['one of the most common'], 'answer_start': [141]}",most common form,one of the most common,True,False,en,en,en,en
56e7586d37bdd419002c3eb4,Where is corporal punishment no longer practiced?,"{'text': ['Most Western countries'], 'answer_start': [221]}",United States,Most Western countries,True,False,en,en,en,en
56e7586d37bdd419002c3eb5,What Western country is corporal punishment still allowed?,"{'text': ['United States'], 'answer_start': [311]}",USA,United States,True,False,sw,ur,sw,sw
56e7586d37bdd419002c3eb6,What U.S. entity said that corporal punishment was Constitutional?,"{'text': ['US Supreme Court'], 'answer_start': [337]}",US Supreme Court,US Supreme Court,True,True,,,,en
56e7586d37bdd419002c3eb7,What does corporal punishment cause a student?,"{'text': ['physical pain'], 'answer_start': [122]}",causes physical pain,physical pain,True,True,,,,en
56e7788200c9c71400d77180,What group can teachers in Wales register with?,"{'text': ['trade unions'], 'answer_start': [47]}","ATL, NUT, or NASUWT",trade unions,True,False,en,sw,en,en
