id,question_ru,original_answer,model_answer
public_relations/test/85,"Эмма просматривает популярный веб-сайт, когда натыкается на историю известного актера, которого недавно остановили за превышение скорости и езду по встречной полосе. Оказывается, он был пьян, а арестовавший его полицейский обнаружил в машине наркотики. Представитель актера сделал заявление, в котором утверждал, что актер просто устал, а наркотики принадлежали кому-то другому. Эмма не может отделаться от впечатления, что все связи с общественностью ________ и происходят только после того, как произошло что-то негативное.",B,B
professional_law/test/960,"Мужчина занял 150 000 долларов в банке на реконструкцию дома и оформил долговое обязательство, согласившись погасить кредит в течение 10 лет. Кредит был обеспечен ипотекой на дом. Банк быстро зарегистрировал ипотеку, которая была единственным залогом на дом на тот момент. Несколько месяцев спустя мужчина занял 40 000 долларов у своей матери, чтобы купить новый грузовик, и дал матери ипотеку на дом, чтобы обеспечить погашение долга. Мать быстро зарегистрировала ипотеку. Позже мужчина потерял работу и с трудом выплачивал кредиты как банку, так и своей матери. Чтобы урегулировать финансовое положение мужчины, банк продлил срок погашения своего кредита, чтобы существенно сократить сумму каждого ежемесячного платежа. Банк не изменил процентную ставку и не увеличил основную сумму кредита. На момент изменения банковского кредита мужчина не имел просрочки по платежам своей матери. Ни банк, ни мужчина не сообщили матери об изменении банковского кредита. После того, как мужчина позже пропустил пять платежей своей матери, она начала процесс принудительного взыскания. Пока процесс находился на рассмотрении, мать узнала об изменении условий кредита банком. Мать утверждала, что ее ипотека стала первым залогом на дом, а ипотека банка стала вторым залогом. Верно ли утверждение матери?",A,B
college_physics/test/1,"Белый свет обычно падает на лужу с водой (показатель преломления 1,33). Тонкий (500 нм) слой масла (показатель преломления 1,5) плавает на поверхности лужи. Из следующих наиболее сильно отражаемая длина волны:",C,A
professional_psychology/test/448,"На какой стадии изменений, скорее всего, находится человек, осознающий необходимость изменения определенного поведения, но проявляющий двойственность?",C,B
professional_law/test/1416,"Выпускница юридического факультета получила уведомление о том, что она успешно сдала экзамен на адвоката. Чтобы отпраздновать сдачу экзамена, выпускница отправилась с несколькими друзьями в популярный бар кампуса. Подруга выпускницы заказала всем по порции Hula Girls. Hula Girl — чрезвычайно крепкий алкогольный напиток, состоящий из 2 унций сухого джина, 1 унции французского вермута и 1 чайной ложки гренадина. После того, как напиток смешан, его подают в стакане с перевернутой лимонной цедрой, которая обрезана на концах, чтобы изобразить юбку из травы. Хотя выпускница никогда не слышала о Hula Girl, она была в праздничном настроении и все равно выпила его. Через несколько минут у выпускницы сильно закружилась голова, и она попыталась встать с барного стула. Когда она попыталась дойти до туалета, ее затошнило, и ее вырвало на клиента, сидевшего за соседним столиком. Клиент был смущен и сильно унижен инцидентом. Если клиент предъявляет иск выпускнику, истец, скорее всего,",C,A
marketing/test/17,Какие из перечисленных ниже критериев сегментации организационных характеристик относятся к трем широким группам?,C,C
high_school_psychology/test/90,Какое из следующих сканирований может отображать работу мозга?,C,B
high_school_us_history/test/64,"Этот вопрос относится к следующей информации. Это естественно, это привилегия, я пойду дальше, это право, которое все свободные люди заявляют, что они имеют право жаловаться, когда их обижают. Они имеют право публично протестовать против злоупотреблений властью в самых решительных выражениях, предостерегать своих соседей от хитрости или открытого насилия людей, наделенных властью, и смело заявлять о том, что они чувствуют благословения свободы, какую ценность они ей придают и о своей решимости во что бы то ни стало сохранить ее как одно из величайших благословений, которые могут даровать небеса.… Но в заключение: вопрос, стоящий перед судом и вами, господа присяжные, не является делом мелкого или частного характера. Это не дело одного бедного печатника и не только Нью-Йорка, которое вы сейчас пытаетесь решить. Нет! Это может по своим последствиям затронуть каждого свободного человека, живущего под британским правительством на материке Америки. Это лучшее дело. Это дело свободы. И я не сомневаюсь, что ваше честное поведение в этот день не только принесет вам право на любовь и уважение ваших сограждан, но и каждый человек, который предпочитает свободу жизни в рабстве, будет благословлять и чтить вас как людей, которые отразили попытку тирании и беспристрастным и неподкупным вердиктом заложили благородную основу для обеспечения для нас, наших потомков и наших соседей того, на что природа и законы нашей страны дали нам право на свободу как разоблачения, так и противостояния произвольной власти (по крайней мере, в этих частях света), говоря и описывая правду.
— Эндрю Гамильтон, заключительный аргумент, судебный процесс по делу о клевете над редактором газеты
Джон Питер Зенгер, 4 августа 1735 г.
Дело Зенгера можно лучше всего сравнить с чем из следующего?",B,A
professional_law/test/294,"Прежде чем федеральный суд сможет рассмотреть дело, оно должно быть подлежащим рассмотрению в суде, т. е. включать дело или спор. Что из перечисленного не является дополнительным ограничением юрисдикции федерального суда?",A,A
prehistory/test/156,"Когда в двухчасовом фильме автора, представляющем историю Вселенной, появляются самые ранние представители человеческой семьи?",D,B
high_school_psychology/test/277,"Стивен переживает свой второй развод. Он думает, что ни одна женщина больше никогда его не полюбит. Его терапевт указывает Стивену, что его мышление нерационально и ошибочно. Какую из следующих терапий использует терапевт?",D,A
us_foreign_policy/test/3,"Кто был первым американским президентом, посетившим коммунистический Китай?",A,A
business_ethics/test/36,"____________ относится к стратегическому процессу, включающему оценку заинтересованных сторон для создания долгосрочных отношений с клиентами, при этом сохраняя, поддерживая и улучшая природную среду.",B,A
high_school_us_history/test/197,"Этот вопрос относится к следующей информации.
""Если проанализировать, то я считаю, что сердце и душа консерватизма — это либертарианство. Я думаю, что консерватизм — это действительно неправильное название, так же как либерализм — неправильное название для либералов — если бы мы вернулись во времена Революции, так называемые консерваторы сегодня были бы либералами, а либералы — тори. Основа консерватизма — это стремление к меньшему вмешательству правительства или меньшей централизованной власти или большей индивидуальной свободе, и это довольно общее описание того, что такое либертарианство. Теперь я не могу сказать, что соглашусь со всем, что говорит нынешняя группа, которая называет себя либертарианцами в смысле партии, потому что я думаю, что, как и в любом политическом движении, есть оттенки, и есть либертарианцы, которые почти достигли точки, когда хотят вообще никакого правительства или анархии. Я считаю, что есть законные функции правительства. В упорядоченном обществе есть законная потребность в каком-то правительстве для поддержания свободы, иначе у нас будет тирания со стороны отдельных лиц. Самый сильный человек в квартале будет управлять районом. У нас есть правительство, которое гарантирует, что нам не придется носить дубинку, чтобы защитить себя. Но я снова настаиваю на своем заявлении, что я думаю, что либертарианство и консерватизм идут по одному и тому же пути». Рональд Рейган, интервью, опубликованное в журнале Reason, 1975 г. Все нижеперечисленное является факторами, которые способствовали известности консерватизма в конце 1970-х и 1980-х годов, КРОМЕ",A,C
high_school_european_history/test/27,"Этот вопрос относится к следующей информации.
Как еврей, я никогда не верил в коллективную вину. Виновны были только виновные.
Дети убийц — не убийцы, а дети. У меня нет ни желания, ни полномочий судить сегодняшнее поколение за невыразимые преступления, совершенные поколением Гитлера.
Но мы можем — и должны — возложить на него ответственность не за прошлое, а за то, как оно помнит прошлое. И за то, что оно делает с памятью о прошлом. Помня, вы поможете своему народу победить призраков, которые витают над его историей. Помните: сообщество, которое не примиряется с мертвыми, будет продолжать травмировать живых.
Мы помним Освенцим и все, что он символизирует, потому что верим, что, несмотря на прошлое и его ужасы, мир достоин спасения; и спасение, как и искупление, можно найти только в памяти.
Эли Визель, «Размышления выжившего», 1987 г. Из этого отрывка можно сделать вывод, что Визель утверждал, что воспоминание о Холокосте",A,A
high_school_chemistry/test/158,"Во время исследования химической реакции студенткой-химиком ей удалось определить, что реакция не является спонтанной при 1 атм и 298 К. Однако она узнала, что охлаждение системы сухим льдом (-78 °C) приводит к тому, что реакция становится спонтанной. Какая из следующих комбинаций должна применяться к этой реакции?",C,C
professional_law/test/634,"Недавно один из штатов опубликовал медицинскую статистику, показывающую, что количество новых случаев СПИДа в штате выросло в четыре раза по сравнению с предыдущим годом. В 2008 году штат сообщил, что у 2250 человек был диагностирован вирус СПИДа. Однако в 2009 году штат подтвердил, что более 9000 новых человек заразились смертельным вирусом. В попытке улучшить медицинское обслуживание больных СПИДом в штате законодательный орган принял закон, предусматривающий государственные средства для помощи частным больницам. Согласно закону, каждая больница в штате будет получать 5000 долларов в год за каждого больного СПИДом, который был госпитализирован в эту больницу и чей период госпитализации превысил одну неделю. Хотя изначально против этого законопроекта выступили несколько церквей и других организаций, законодательный орган штата переработал законопроект в компромиссной попытке успокоить оппозицию. В окончательном варианте законопроекта предусматривалось, что ежегодная субсидия в размере 5000 долларов «не будет выплачиваться ни одной больнице, проводящей аборты». Какой из следующих аргументов является наиболее сильным против конституционности закона штата?",B,B
college_physics/test/71,"Линии водорода, наблюдаемые в спектре квазара 3C9, настолько смещены в красную область, что их длины волн в три раза длиннее, чем те, которые наблюдаются в свете покоящихся атомов водорода в лаборатории на Земле. Если предположить, что сдвиг полностью обусловлен относительным движением 3C9 и Земли, относительная скорость квазара составит",C,B
high_school_psychology/test/281,"В мультфильме ангел сидит на одном плече, а дьявол — на другом плече персонажа, которому нужно решить, давать ли деньги бездомному или нет. Дьявол говорит: «Не давай ему ничего, ты найдешь лучшее применение деньгам, чем он». Ангел говорит: «Дай ему деньги, потому что он нуждается в них больше, чем ты». Персонаж отдает бездомному половину своих денег. В фрейдистской интерпретации ангел представляет персонажа",D,A
high_school_macroeconomics/test/231,"Монетаристская точка зрения заключается в том, что",C,B
moral_disputes/test/187,"Хьюмер утверждает, что нет никаких оснований полагать, что вред от употребления наркотиков имеет важное значение.",D,B
high_school_computer_science/test/60,"Пусть l = [1,2,3,4]. Что такое max(l) в Python3?",D,D
professional_medicine/test/47,"При исследовании почечных клубочков здоровая почка животного находится в сосудистом препарате-ванне при постоянном афферентном артериальном давлении 100 мм рт. ст. Если эфферентная артериола сужается сосудистым зажимом, какая из следующих сил Старлинга с наибольшей вероятностью изменится в клубочках?",D,B
elementary_mathematics/test/369,У студента есть 3 пазла. Каждый пазл состоит из 1250 частей. Каково общее количество частей в пазлах?,B,B
high_school_chemistry/test/12,"Фтористый водород, HF, является жидкостью при 15 °C. Все остальные галогениды водорода (обозначенные как HX, где X — любой другой галоген) являются газами при той же температуре. Почему?",C,A
high_school_mathematics/test/191,"Если $m$ и $n$ — нечетные целые числа, сколько членов в разложении $(m+n)^6$ являются нечетными?",A,B
moral_scenarios/test/796,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я бросил газеты в лесной пожар. Сценарий 2 | Я попросил своих детей накрыть на стол к ужину.",B,A
moral_disputes/test/171,"Главный вывод Каренса заключается в том, что",A,A
virology/test/128,Какое из следующих достижений в последнее время внесло революционные изменения в лечение гепатита С?,A,B
professional_medicine/test/90,"19-летняя студентка азиатского происхождения обратилась в университетский медицинский центр из-за заложенности носа в течение недели, периодической ринореи и легкой боли в горле. Два дня назад ей стало жарко, но она не измеряла температуру. Медицинский анамнез ничем не примечательный, единственным лекарством, которое она принимает, является оральный контрацептив. У нее нет истории аллергии. Она не курит сигареты. ИМТ составляет 22 кг/м2. Основные показатели жизнедеятельности: температура 38,1 °C (100,6 °F), пульс 88/мин, дыхание 16/мин и артериальное давление 116/74 мм рт. ст. При физикальном обследовании выявляется болезненность над левой верхнечелюстной пазухой без гнойного отделяемого. За левой барабанной перепонкой имеется прозрачная жидкость, увеличенные с двух сторон миндалины и боль при постукивании по левым верхним резцам. Левая лобная пазуха не просвечивается. Кардиопульмональное обследование не выявляет никаких отклонений. Какой из перечисленных ниже механизмов является наиболее вероятным причиной синусита у данного пациента?",B,B
college_biology/test/2,"Чтобы предотвратить высыхание и травмы, эмбрионы наземных позвоночных заключены в жидкость, выделяемую",A,A
professional_psychology/test/424,Вас вызывают в суд для дачи показаний о вашем бывшем клиенте. Во время дачи показаний адвокат противоположной стороны просит вас предоставить конфиденциальную информацию о клиенте. Вам следует:,B,A
sociology/test/54,"По словам У. Э. Б. Дюбуа, прогресс для афроамериканцев после отмены рабства",A,B
virology/test/49,Как описываются новые полиомавирусы,A,A
high_school_macroeconomics/test/212,"Какой из перечисленных факторов, скорее всего, будет сдерживать рост экономики?",C,C
high_school_government_and_politics/test/111,Каждые десять лет большинство законодательных органов штатов несут ответственность за,A,A
security_studies/test/220,На идеях и философии каких теоретиков исторический материализм основан?,C,B
human_aging/test/108,Какой тип времени реакции приводит к наибольшим возрастным различиям?,C,C
high_school_chemistry/test/168,"Азотистая кислота — слабая кислота, тогда как азотная кислота — гораздо более сильная кислота, потому что",C,C
nutrition/test/233,Какое из следующих утверждений о протеолизе верно?,A,B
college_medicine/test/160,Какая из следующих молекул не входит в состав ДНК?,D,C
philosophy/test/31,"Фома Аквинский считает, что конечная цель человека — это:",B,B
high_school_chemistry/test/124,Что из перечисленного ниже не является хорошей мерой относительных межмолекулярных сил притяжения?,A,A
moral_scenarios/test/508,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я приготовил ей суши из ее остатков лосося. Сценарий 2 | Я выпрыгнул из окна на землю на три фута ниже.",D,A
high_school_european_history/test/14,"Этот вопрос относится к следующей информации.
""Призрак бродит по Европе — призрак коммунизма. Все силы старой Европы объединились в священный союз, чтобы изгнать этот призрак: Папа и царь, Меттерних и Гизо, французские радикалы и немецкие полицейские шпионы.
Из этого факта вытекают две вещи.
I. Коммунизм уже признан всеми европейскими державами как сам по себе сила.
II. Настало время, чтобы коммунисты открыто, перед лицом всего мира, опубликовали свои взгляды, свои цели, свои тенденции и встретили эту детскую сказку о призраке коммунизма Манифестом самой партии"".
Карл Маркс и Фридрих Энгельс, Манифест Коммунистической партии, 1848
В этом отрывке Маркс и Энгельс, кажется, в основном озабочены",D,A
machine_learning/test/70,"Вы только что закончили обучение дерева решений для классификации спама, и оно показывает аномально плохую производительность как на обучающем, так и на тестовом наборах. Вы знаете, что в вашей реализации нет ошибок, так что может быть причиной проблемы?",A,A
moral_scenarios/test/892,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я слежу за тем, чтобы мой мощный охранный свет не был направлен в окно спальни моего соседа. Сценарий 2 | Я замахнулся подушкой на своего лучшего друга Джеймса.",D,A
world_religions/test/0,Как можно перевести слово murtis?,D,A
high_school_macroeconomics/test/46,Члены Совета управляющих ФРС избираются на срок в -лет.,B,B
conceptual_physics/test/199,"Найдите скорость волны, умножив ее частоту на ее",B,B
electrical_engineering/test/68,Защелка ________ чувствительна,C,B
medical_genetics/test/86,Какой из следующих трисомий кариотипов оказывает самое мягкое влияние на развитие человека?,A,A
moral_scenarios/test/386,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Я открыл бензобак и залил в него бензин. Сценарий 2 | Он пошел на работу, а я вышла замуж за другого.",C,A
high_school_world_history/test/219,"Этот вопрос относится к следующей информации. «В связи с этим возникает вопрос: лучше ли быть любимым, чем бояться, или бояться, чем быть любимым? Можно ответить, что следует желать быть и тем, и другим, но поскольку трудно объединить их в одном человеке, гораздо безопаснее быть боязливым, чем любимым, когда из двух нужно обойтись без одного. Потому что это следует утверждать в общем о людях, что они неблагодарны, непостоянны, лживы, трусливы, алчны, и пока вы добиваетесь успеха, они всецело ваши; они предложат вам свою кровь, имущество, жизнь и детей, как сказано выше, когда нужда еще далека; но когда она приближается, они обращаются против вас. И тот государь, который, полагаясь исключительно на свои обещания, пренебрег другими мерами предосторожности, погибает; потому что дружба, которая приобретается за плату, а не за счет величия или благородства ума, действительно может быть заслужена, но она не надежна, и в трудную минуту на нее нельзя положиться; и люди менее щепетильны в том, чтобы оскорбить того, кого любят, чем того, кто боятся, ибо любовь сохраняется благодаря узам обязательства, которые из-за низости людей разрываются при каждой возможности для их же выгоды; но страх сохраняет вас благодаря страху наказания, который никогда не иссякает».
Николо Макиавелли, «Государь», ок. 1513 г. н. э.
Трактат Макиавелли лучше всего понимать в контексте чего из перечисленного?",C,C
marketing/test/80,"Эти товары покупаются нечасто, используются многократно и сопряжены с достаточно высоким уровнем потребительского риска:",D,C
high_school_physics/test/123,"Сколько времени потребуется автомобилю, стартуя из состояния покоя и равномерно ускоряясь по прямой со скоростью 5 м/с^2, чтобы преодолеть расстояние в 200 м?",A,B
high_school_psychology/test/292,Какая часть мозга Финеаса Гейджа была повреждена в результате несчастного случая при укладке железнодорожных путей?,D,A
world_religions/test/6,Какой термин использовал Гуру Нанак для обозначения «божественного слова» как части божественного откровения?,A,A
professional_medicine/test/131,"Мужчина 37 лет, больной сахарным диабетом 1 типа, госпитализирован в связи с неадекватным контролем концентрации глюкозы в течение последних 2 месяцев. Несмотря на плохой контроль, он требует, чтобы его выписали. Он сообщает, что в течение трех месяцев у него наблюдались усталость, раздражительность и чувство безнадежности. Он говорит, что не соблюдает свой диабетический режим, добавляя: «Иногда я забываю». Он избегает своей семьи и друзей, потому что не в настроении их видеть, но признает, что ему одиноко. Он не вставал с постели двое суток, что побудило его жену вызвать скорую помощь и госпитализировать его. До поступления в больницу его единственным лекарством был инсулин, хотя он часто пропускал дозы. Он не употребляет алкоголь. Его рост 168 см (5 футов 6 дюймов) и вес 100 кг (220 фунтов); ИМТ составляет 36 кг/м2. Температура 37°C (98,6°F), пульс 68/мин, дыхание 18/мин, артериальное давление 150/85 мм рт. ст. Физикальное обследование не выявило отклонений. При обследовании психического статуса он утомлен и имеет сдержанный аффект. Суицидальных настроений не замечено. Когнитивная деятельность в норме. Концентрация глюкозы в сыворотке крови натощак составляет 120 мг/дл. Что из перечисленного является наиболее подходящим следующим шагом в лечении?",A,B
high_school_geography/test/190,Какая из перечисленных наднациональных организаций не является экономическим союзом?,D,C
moral_disputes/test/199,"По мнению Аквинского, первым предписанием естественного права является",A,A
elementary_mathematics/test/107,"Рассмотрим последовательность чисел 5, 9, 13, 17, 21, 25, 29. Какое правило можно было использовать для создания последовательности?",C,B
miscellaneous/test/524,Какой из перечисленных ниже типов бактерий вырабатывает токсин в пищевых продуктах в анаэробных условиях?,A,A
prehistory/test/130,К 1900 г. до н.э. основные элементы культуры майя уже были на месте. К ним НЕ относились:,C,B
elementary_mathematics/test/166,Оцените 153 + 44. Сумма находится между какими числами?,A,A
college_physics/test/42,"При определенных условиях пучок электронов, падающий на поверхность кристалла, будет дифрагировать, и можно получить картину рассеяния луча. Какова приблизительная кинетическая энергия электронов, необходимая для того, чтобы увидеть узор? (Предположим, что шаг решетки кристалла равен 0,4 нм.)",C,B
astronomy/test/69,"Мешок с песком имеет массу 5 кг и вес 50 Н на Земле. Каковы масса и вес этого мешка с песком на планете с гравитацией в два раза меньше, чем на Земле?",C,A
professional_psychology/test/204,Процедуры «тайм-аута» при манипулировании поведением основаны на концепции обусловливания,A,A
miscellaneous/test/212,Какое из этих названий является другим названием поля для гольфа?,B,A
professional_medicine/test/222,"26-летняя женщина с ВИЧ-инфекцией обратилась в клинику из-за 4-дневной истории боли и покраснения левой голени. Она говорит, что симптомы начались после того, как она споткнулась о ветку дерева во дворе и поцарапала левую ногу. Текущие лекарства включают антиретровирусную терапию и ибупрофен по мере необходимости. Основные показатели жизнедеятельности: температура 38,3 °C (100,9 °F), пульс 86/мин, дыхание 14/мин и артериальное давление 138/70 мм рт. ст. На передней поверхности ее левой нижней конечности имеется область размером 5×8 см, которая опухла, эритематозна и болезненна. Ранее у нее появилась сыпь после приема эритромицина, и у нее была анафилактическая реакция на пенициллин. Какая из следующих антибактериальных терапий наиболее подходит для этой пациентки?",D,B
professional_psychology/test/406,Анализ социальной власти в консультационных отношениях подчеркивает важность двух форм власти,B,B
college_medicine/test/11,"Определенное количество 2-бромбутана помещают в крепкий раствор этанола и дают ему завершить реакцию. В результате этой реакции получается основной продукт 2-бутен и второстепенный продукт 1-бутен. Какое из следующих описаний исходного соединения объясняет, почему 2-бутен является основным продуктом?",A,B
human_aging/test/128,"В разделе «Мнение старших» этой главы Мэй Ли сказала нам, что мы все должны уважать старших, потому что",B,A
professional_law/test/875,"Жительница города каждый день ездила на работу на метро. Купив билет на метро, жительница вошла в метро, чтобы доехать до центра города, где она работала. В поисках места жительница шла к задней части вагона метро, когда он резко остановился. В результате внезапной остановки жительница упала на пассажира, нанеся ему травму. Если пассажир подаст иск против компании метрополитена о возмещении ущерба за полученные им травмы, он, вероятно,",C,C
nutrition/test/113,Какие стратегии питания не улучшат производительность во время длительных упражнений на выносливость?,C,B
moral_scenarios/test/156,"В каком из этих двух сценариев главный герой (который использует я/меня/мой) делает что-то явно морально неправильное, согласно обычным моральным нормам в США по состоянию на 2020 год? Сценарий 1 | Мне было скучно, и я вырыл яму, чтобы сделать подвал на заднем дворе. Сценарий 2 | Мне нужно было скоро приступить к работе, поэтому я пошел на бейсбольный матч.",C,A
professional_law/test/330,"Законодательному собранию штата был предложен законопроект, который реорганизовал бы полицию штата. Законопроект вызвал много споров как в правительстве штата, так и за его пределами. Несколько лидеров партии меньшинства в законодательном собрании решили выступить против законопроекта. Один член партии меньшинства не согласился с оппозицией своей партии законопроекту и публично заявил о своей поддержке законопроекта. Лидеры партии меньшинства созвали собрание для обсуждения и определения своей законодательной стратегии для дебатов по законопроекту. Когда несогласный член появился в дверях зала собрания, ему было отказано во входе из-за его антипартийной позиции. Ему также сообщили, что он будет отстранен от всех своих назначений в комитете. Во время собрания члены партии обсуждали другие способы дисциплинарного воздействия на члена за его неподчинение партии. Было предложено выпустить пресс-релиз, в котором партия публично раскритикует его за его действия. Лидер партии заявил, что «этот член партии — беспощадный политик, который думает только о том, где бы раздобыть денег». Какое из следующих положений конституции даст исключенному члену партии наилучшие основания для оспаривания своего исключения из партийного собрания?",D,B
nutrition/test/93,"В эпидемиологическом контексте, какая группа населения подвержена риску?",B,B
sociology/test/82,"Что из перечисленного ниже соответствует результатам современных исследований, проводимых в области гендерных ролей и рабочего места?",D,A
high_school_statistics/test/148,"Специалист по чтению из крупной государственной школьной системы считает, что чем больше времени учащиеся проводят за чтением, тем лучше они будут учиться в школе. Она планирует провести эксперимент в средней школе, в ходе которого SRS из 30 восьмиклассников будет выделено четыре дополнительных часа чтения в неделю, SRS из 30 семиклассников будет выделено два дополнительных часа чтения в неделю и SRS из 30 шестиклассников с никакое дополнительное назначенное чтение не будет контрольной группой. По истечении одного учебного года средние баллы учащихся каждой группы будут сравниваться. Это хороший экспериментальный план?",D,B
marketing/test/7,"Дисбаланс между фактическим и желаемым состоянием потребителя, при котором осознается необходимость устранения пробела или проблемы, называется:",A,B
security_studies/test/11,Что из перечисленного лучше всего описывает «Восток» по мнению Эдварда Саида?,A,A
professional_law/test/817,"Две машины ехали с соблюдением разрешенной скорости, приближаясь к перекрестку. На этом перекрестке нет светофоров, знаков остановки или предупреждений. Оба автомобиля одновременно въехали на перекресток и столкнулись. В результате аварии один из водителей получил перелом таза и внутренние травмы. Хотя грузовик другого водителя был слегка поврежден, он не получил никаких физических травм. После этого пострадавший водитель подал в суд на город за халатность, утверждая, что город не обеспечил надлежащего предупреждения на перекрестке, который, по ее словам, был особенно опасным и оживленным. На суде городской прокурор представил доказательства того, что перекресток оставался тем же в течение 14 лет, и за это время не произошло никаких других аварий. После возражений адвоката пострадавшего водителя эти доказательства должны быть",A,A
professional_law/test/583,"Врач был владельцем 1500 акров необработанных лесных угодий. В сентябре 1989 года врач оформил гарантийный акт, передающий лесные угодья стоматологу по принципу простого права. Стоматолог немедленно сделал запись в индексе Grantor Grantee. Затем в апреле 1990 года стоматолог передал тот же участок покупателю по принципу простого права по гарантийному акту. Покупатель заплатил полную рыночную стоимость и сразу же зарегистрировал акт в индексе Grantor Grantee. Рассматриваемая земля никогда не была занята, огорожена или расчищена, за исключением того, что в период с 1986 по 2010 год горнодобывающая компания, расположенная в одной миле от собственности, регулярно ездила на грузовиках по расчищенной дороге в соответствии с соглашением с врачом от 1986 года. Соглашение, которое было надлежащим образом зафиксировано, предусматривало, что «стороны прямо соглашаются, и доктор обещает, что доктор и его преемники будут воздерживаться от заграждения указанного описанного пути через землю доктора, который горнодобывающая компания и ее преемники могут бессрочно использовать в качестве дороги, в счет чего горнодобывающая компания и ее преемники будут выплачивать сумму в размере 700 долларов в год». «В 1990 году, после передачи права собственности от дантиста, покупатель сообщил горнодобывающей компании, что он больше не будет соблюдать соглашение 1986 года, разрешающее горнодобывающей компании использовать путь. Горнодобывающая компания возбудила иск о реальном исполнении. Решение должно быть вынесено в пользу",A,C
miscellaneous/test/250,Кто является заклятым врагом мультяшного супергероя Андердога?,A,A
high_school_psychology/test/425,По какой из следующих причин исследование случая черепно-мозговой травмы Финеаса Гейджа было значимым?,B,B
professional_law/test/630,"15-летний мальчик был убит во время драки банд. Через два дня после его похорон мать мальчика увидела телевизионную программу о насилии банд и была шокирована, увидев видео, на котором она рыдает над телом мальчика. Видео было снято командой телевизионных репортеров, когда тело мальчика все еще лежало на улице. Мать испытала сильный эмоциональный стресс в результате просмотра видео. Если мать подаст в суд на телеканал за вторжение в ее личную жизнь и в личную жизнь ее сына, сможет ли мать выиграть дело?",B,C
moral_disputes/test/14,"Что из перечисленного является примером моральной теории, основанной на ценностях?",C,C
miscellaneous/test/232,В каком десятилетии Израиль стал независимым государством?,B,B
philosophy/test/270,"Милль утверждает, что счастливая жизнь — это одно из:",C,C
high_school_statistics/test/115,"В составе присяжных, доступных на этой неделе, 30 процентов потенциальных присяжных — женщины. Конкретный судебный процесс требует, чтобы из 12 присяжных было не менее трех женщин. Если присяжные из 12 человек выбираются случайным образом из состава, какова вероятность того, что они будут соответствовать требованиям этого судебного процесса?",D,A
