id,question_en,original_answer,model_answer
professional_psychology/test/448,A person who recognizes a need to change certain behavior but exhibits ambivalence would most likely be in which stage of change?,C,B
professional_law/test/1416,"A graduate of law school received notice that she had successfully passed the bar exam. To celebrate passing, the graduate went out with a few friends to a popular campus bar. The graduate's friend ordered a round of Hula Girls for everyone. A Hula Girl is an extremely potent alcoholic drink consisting. of 2 ounces of dry gin, 1 ounce of French vermouth, and 1 teaspoon of grenadine. After the drink is mixed, it is then served in a glass with an inverted lemon peel, which is cut at the ends to represent a grass skirt. Although the graduate had never heard of a Hula Girl, she was in a festive mood and drank it, anyway. A few minutes later, the graduate became very dizzy and attempted to stand up from the barstool. As she tried to walk to the restroom, she became nauseated and vomited over a customer sitting at a nearby table. The customer was embarrassed and greatly humiliated by the incident. If the customer asserts a claim against the graduate, the plaintiff will most likely",C,D
marketing/test/17, Which of the following are the three broad groups of organizational characteristics segmentation criteria?,C,C
high_school_psychology/test/90,Which of the following scans can image brain function?,C,D
high_school_us_history/test/64,"This question refers to the following information.
It is natural, it is a privilege, I will go farther, it is a right, which all free men claim, that they are entitled to complain when they are hurt. They have a right publicly to remonstrate against the abuses of power in the strongest terms, to put their neighbors upon their guard against the craft or open violence of men in authority, and to assert with courage the sense they have of the blessings of liberty, the value they put upon it, and their resolution at all hazards to preserve it as one of the greatest blessings heaven can bestow.… But to conclude: The question before the Court and you, Gentlemen of the jury, is not of small or private concern. It is not the cause of one poor printer, nor of New York alone, which you are now trying. No! It may in its consequence affect every free man that lives under a British government on the main of America. It is the best cause. It is the cause of liberty. And I make no doubt but your upright conduct this day will not only entitle you to the love and esteem of your fellow citizens, but every man who prefers freedom to a life of slavery will bless and honor you as men who have baffled the attempt of tyranny, and by an impartial and uncorrupt verdict have laid a noble foundation for securing to ourselves, our posterity, and our neighbors, that to which nature and the laws of our country have given us a right to liberty of both exposing and opposing arbitrary power (in these parts of the world at least) by speaking and writing truth.
—Andrew Hamilton, concluding argument, libel trial of newspaper editor
John Peter Zenger, August 4, 1735
The Zenger Case can best be compared to which of the following?",B,D
professional_law/test/294,"Before a federal court may address a case, it has to be justiciable, i.e., involve a case or controversy. Which of the following is not an additional limitation on federal court jurisdiction?",A,A
prehistory/test/156,"In the author's two-hour movie representing the history of the universe, when do the earliest members of the human family appear?",D,A
high_school_psychology/test/277,Stephen is going through his second divorce. He thinks that no woman will ever love him again. His therapist points out to Stephen that his thinking is irrational and faulty. Which of the following therapies is the therapist employing?,D,D
us_foreign_policy/test/3,Who was the first American president to visit communist China?,A,A
business_ethics/test/36,"____________ refers to a strategic process involving stakeholder assessment to create long-term relationships with customers, while maintaining, supporting, and enhancing the natural environment.",B,A
high_school_us_history/test/197,"This question refers to the following information.
""If you analyze it I believe the very heart and soul of conservatism is libertarianism. I think conservatism is really a misnomer just as liberalism is a misnomer for the liberals—if we were back in the days of the Revolution, so-called conservatives today would be the Liberals and the liberals would be the Tories. The basis of conservatism is a desire for less government interference or less centralized authority or more individual freedom and this is a pretty general description also of what libertarianism is. Now, I can't say that I will agree with all the things that the present group who call themselves Libertarians in the sense of a party say, because I think that like in any political movement there are shades, and there are libertarians who are almost over at the point of wanting no government at all or anarchy. I believe there are legitimate government functions. There is a legitimate need in an orderly society for some government to maintain freedom or we will have tyranny by individuals. The strongest man on the block will run the neighborhood. We have government to ensure that we don't each one of us have to carry a club to defend ourselves. But again, I stand on my statement that I think that libertarianism and conservatism are traveling the same path.""
Ronald Reagan, Interview published in Reason magazine, 1975
All of the following are factors that contributed to the prominence of conservatism in the late 1970s and 1980s EXCEPT",A,A
high_school_european_history/test/27,"This question refers to the following information.
As a Jew, I have never believed in collective guilt. Only the guilty were guilty.
Children of killers are not killers but children. I have neither the desire nor the authority to judge today's generation for the unspeakable crimes committed by the generation of Hitler.
But we may—and we must—hold it responsible, not for the past, but for the way it remembers the past. And for what it does with the memory of the past. In remembering, you will help your own people vanquish the ghosts that hover over its history. Remember: a community that does not come to terms with the dead will continue to traumatize the living.
We remember Auschwitz and all that it symbolizes because we believe that, in spite of the past and its horrors, the world is worthy of salvation; and salvation, like redemption, can be found only in memory.
Elie Wiesel, ""Reflections of a Survivor,"" 1987
From the passage, one may infer that Wiesel asserted that remembering the Holocaust",A,A
high_school_chemistry/test/158,"During the investigation of a chemical reaction by a chemistry student, she was able to determine that the reaction was nonspontaneous at 1 atm and 298 K. However, she learned that cooling the system with dry ice (-78°C) caused the reaction to become spontaneous. Which of the following combinations must apply to this reaction?",C,C
professional_law/test/634,"A state has recently released medical statistics showing that the number of new AIDS cases within the state has quadrupled from the preceding year. In 2008, the state reported that 2,250 people were diagnosed as being stricken with the AIDS virus. However, in 2009 the state confirmed that over 9,000 new persons contracted the deadly virus. In an effort to improve the health care of AIDS patients in the state, the Legislature has enacted a law providing public funds to assist privately owned hospitals. According to the law, every hospital in the state would receive $5,000 annually for each AIDS patient who was admitted to that hospital, and whose period of hospitalization exceeded one week. Although this bill was initially opposed by several churches and other organizations, the state's legislature re-drafted the bill in a compromise effort to appease the opposition. In its final re-draft, the bill provided that the $5,000 annual subsidy ""would not be paid to any hospital performing abortions. ""Which of the following is the strongest argument against the constitutionality of the state's statute?",B,B
college_physics/test/71,"The hydrogen lines observed in the spectrum of the quasar 3C9 are shifted so far into the red that their wavelengths are three times as long as those observed in the light from hydrogen atoms at rest in a laboratory on Earth. If it is assumed that the shift is entirely due to the relative motion of 3C9 and Earth, the relative speed of the quasar is",C,B
high_school_psychology/test/281,"In a cartoon, an angel is perched on one shoulder and a devil is perched on the other shoulder of a character who needs to decide whether to give money to a homeless man or not. The devil says, ""Don't give him anything, you'll make better use of the money than he will."" The angel says, ""Give him the money because he needs it more than you do."" The character gives the homeless man half of his money. In a Freudian interpretation, the angel represents the character's",D,B
high_school_macroeconomics/test/231,It is a monetarist point of view that,C,A
moral_disputes/test/187, Huemer argues that there is no reason to think that the harms of drug use are in an important sense,D,A
high_school_computer_science/test/60,"Let l = [1,2,3,4]. What is max(l) in Python3?",D,D
professional_medicine/test/47,"During a study of renal glomeruli, a healthy animal kidney is kept in a vascular bath preparation at a constant afferent arterial pressure of 100 mm Hg. If the efferent arteriole is constricted with a vascular clamp, which of the following Starling forces is most likely to change in the glomeruli?",D,A
elementary_mathematics/test/369,"A student has 3 puzzles. Each puzzle has 1,250 pieces. What is the total number of pieces in the puzzles?",B,D
high_school_chemistry/test/12,"Hydrogen fluoride, HF, is a liquid at 15°C. All other hydrogen halides (represented by HX, where X is any other halogen) are gases at the same temperature. Why?",C,B
high_school_mathematics/test/191,"If $m$ and $n$ are odd integers, how many terms in the expansion of $(m+n)^6$ are odd?",A,A
moral_scenarios/test/796,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I threw the newspapers into to the forest wild fire. Scenario 2 | I asked my children to set the table for dinner.",B,B
moral_disputes/test/171, Carens's main conclusion is that,A,B
virology/test/128,The treatment of hepatitis C has been revolutionised most recently by which of the following?,A,D
professional_medicine/test/90,"A 19-year-old Asian female college student comes to the university health center because of a 1-week history of nasal stuffiness, occasional clear rhinorrhea, and a mild sore throat. Two days ago, she began to feel hot, but she has not taken her temperature. Medical history is unremarkable and her only medication is an oral contraceptive. She has no history of allergies. She does not smoke cigarettes. BMI is 22 kg/m2 . Vital signs are temperature 38.1°C (100.6°F), pulse 88/min, respirations 16/min, and blood pressure 116/74 mm Hg. Physical examination discloses tenderness over the left maxillary sinus without purulent drainage. There is clear fluid behind the left tympanic membrane, enlarged tonsils bilaterally, and pain with tapping of the left upper incisors. Left frontal sinus does not transilluminate. Cardiopulmonary examination discloses no abnormalities. Which of the following is the most likely underlying mechanism of this patient's sinusitis?",B,B
college_biology/test/2,"To prevent desiccation and injury, the embryos of terrestrial vertebrates are encased within a fluid secreted by the",A,A
professional_psychology/test/424,"You are subpoenaed to appear at a deposition to testify about a former client of yours. During the deposition, the attorney for the opposing party asks you to provide confidential client information. You should:",B,A
sociology/test/54,"According to W. E. B. Dubois, progress for African Americans in the aftermath of slavery",A,A
virology/test/49,How are new polyomaviruses detailed,A,B
high_school_macroeconomics/test/212,Which of the following is the most likely to be a deterrent to growth in the economy?,C,A
high_school_government_and_politics/test/111,"Every ten years, the majority of state legislatures are responsible for",A,A
security_studies/test/220,Historical materialism is founded on the ideas and philosophies of which theorists?,C,C
human_aging/test/108,Which type of reaction time results in the biggest age differences?,C,A
high_school_chemistry/test/168,"Nitrous acid is a weak acid, while nitric acid is a much stronger acid because",C,C
nutrition/test/233,"Which of the following statements about proteolysis is correct?
",A,A
college_medicine/test/160,Which of the following molecules does not form part of DNA?,D,B
philosophy/test/31,Aquinas holds that the last end of man is:,B,B
high_school_chemistry/test/124,Which of the following is not a good measure of relative intermolecular attractive forces?,A,B
moral_scenarios/test/508,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I made her sushi from her leftover salmon. Scenario 2 | I jumped out of the window onto the ground three feet below.",D,C
high_school_european_history/test/14,"This question refers to the following information.
""A specter is haunting Europe-the specter of Communism. All the powers of old Europe have entered into a holy alliance to exorcise this specter; Pope and Czar, Metternich and Guizot, French radicals and German police spies.
Two things result from this fact.
I. Communism is already acknowledged by all European powers to be in itself a power.
II. It is high time that Communists should openly, in the face of the whole world, publish their views, their aims, their tendencies, and meet this nursery tale of the Specter of Communism with a Manifesto of the party itself.""
Karl Marx and Friedrich Engels, The Communist Manifesto, 1848
In this passage, Marx and Engels seem to be chiefly preoccupied with",D,B
machine_learning/test/70,"You've just finished training a decision tree for spam classification, and it is getting abnormally bad performance on both your training and test sets. You know that your implementation has no bugs, so what could be causing the problem?",A,C
moral_scenarios/test/892,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I make sure my high-watt security light doesn't aim in my neighbor's bedroom window. Scenario 2 | I swung a pillow at my best friend James.",D,A
world_religions/test/0, What can murtis be translated as?,D,C
high_school_macroeconomics/test/46,The FED's Board of Governors has members each serving -year terms.,B,A
conceptual_physics/test/199,Find the speed of a wave by multiplying its frequency by its,B,B
electrical_engineering/test/68,A latch is ________ sensitive,C,D
medical_genetics/test/86,Which of the following trisomy karyotypes has the mildest effect on human development?,A,B
moral_scenarios/test/386,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I opened the gas tank and filled it with with gasoline. Scenario 2 | He went to work, and I married another.",C,A
high_school_world_history/test/219,"This question refers to the following information.
""Upon this a question arises: whether it be better to be loved than feared or feared than loved? It may be answered that one should wish to be both, but, because it is difficult to unite them in one person, it is much safer to be feared than loved, when, of the two, either must be dispensed with. Because this is to be asserted in general of men, that they are ungrateful, fickle, false, cowardly, covetous, and as long as you succeed they are yours entirely; they will offer you their blood, property, life, and children, as is said above, when the need is far distant; but when it approaches they turn against you. And that prince who, relying entirely on their promises, has neglected other precautions, is ruined; because friendships that are obtained by payments, and not by greatness or nobility of mind, may indeed be earned, but they are not secured, and in time of need cannot be relied upon; and men have less scruple in offending one who is beloved than one who is feared, for love is preserved by the link of obligation which, owing to the baseness of men, is broken at every opportunity for their advantage; but fear preserves you by a dread of punishment which never fails.""
Nicolo Machiavelli, The Prince, ca. 1513 C.E.
Machiavelli's treatise is best understood in the context of which of the following?",C,C
marketing/test/80,"These goods are bought infrequently, used repeatedly, and involve a reasonably high level of consumer risk:",D,"subject
C"
high_school_physics/test/123,"How long would it take a car, starting from rest and accelerating uniformly in a straight line at 5 m/s^2, to cover a distance of 200 m ?",A,A
high_school_psychology/test/292,What part of Phineas Gage's brain was damaged by his accident while laying the railroad track?,D,B
world_religions/test/6," Guru Nanak used what term to denote the ""divine word"" as part of divine revelation?",A,A
professional_medicine/test/131,"A 37-year-old man with type 1 diabetes mellitus is admitted to the hospital because of inadequate control of his glucose concentrations for the past 2 months. Despite his poor control, he demands that he be discharged. He reports that he has had a 3-month history of fatigue, irritability, and feelings of hopelessness. He says that he has been noncompliant with his diabetic regimen, adding, ""Sometimes I forget."" He has been avoiding his family and friends because he is not in the mood to see them but admits that he is lonely. He did not get out of bed for 2 days, which prompted his wife to call an ambulance and have him admitted to the hospital. Prior to admission to the hospital, his only medication was insulin, although he often missed doses. He does not drink alcohol. He is 168 cm (5 ft 6 in) tall and weighs 100 kg (220 lb); BMI is 36 kg/m2 . His temperature is 37°C (98.6°F), pulse is 68/min, respirations are 18/min, and blood pressure is 150/85 mm Hg. Physical examination shows no abnormalities. On mental status examination, he is tired and has a restricted affect. There is no evidence of suicidal ideation. Cognition is intact. His fasting serum glucose concentration is 120 mg/dL. Which of the following is the most appropriate next step in management?",A,A
high_school_geography/test/190,Which of the following supranational organizations is not an economic union?,D,B
moral_disputes/test/199," According to Aquinas, the first precept of natural law is",A,A
elementary_mathematics/test/107,"Consider the number pattern 5, 9, 13, 17, 21, 25, 29. Which rule could have been used to make the pattern?",C,C
miscellaneous/test/524,Which of the following is a type of bacterium that produces a toxin in food under anaerobic conditions?,A,B
prehistory/test/130,"By 1900 B.P., the central elements of Mayan culture were in place. These did NOT include:",C,C
elementary_mathematics/test/166,Estimate 153 + 44. The sum is between which numbers?,A,A
college_physics/test/42,"Under certain conditions, a beam of electrons impinging on a crystal surface will diffract and a scattering pattern of the beam can be obtained. What is the approximate kinetic energy of the electrons needed in order to see the pattern? (Assume the lattice spacing of the crystal to be 0.4 nm.)",C,B
astronomy/test/69,A sand bag has a mass of 5kg and weight 50N on Earth. What is the mass and weight of this sand bag on a planet with half the gravity compared to Earth?,C,A
professional_psychology/test/204,“Time-out” procedures in manipulating behaviors are based on the conditioning concept of,A,B
miscellaneous/test/212,Which of these is another name for a golf course?,B,B
professional_medicine/test/222,"A 26-year-old woman with HIV infection comes to the office because of a 4-day history of pain and redness of her left lower leg. She says the symptoms began after she tripped over a tree branch in her yard and scraped her left leg. Current medications include antiretroviral therapy and ibuprofen as needed. Vital signs are temperature 38.3°C (100.9°F), pulse 86/min, respirations 14/min, and blood pressure 138/70 mm Hg. There is a 5×8-cm area on the anterior surface of her left lower extremity that is swollen, erythematous, and tender. She previously has developed a rash after taking erythromycin, and she has had an anaphylactic response to penicillin. Which of the following antibiotic therapies is most appropriate for this patient?",D,C
professional_psychology/test/406,Analyses of social power in consulting relationships emphasize the importance of which two forms of power,B,B
college_medicine/test/11,A descript amount of 2-bromobutane is placed into a strong solution of ethanol and allowed to complete a reaction. The result of this reaction produces a major product of 2-butene and a minor product of 1-butene. Which of the following descriptions of the starting compound explains why 2-butene is the major product?,A,A
human_aging/test/128,"In this chapter's Senior View, May Lee told us that we should all respect our elders because",B,B
professional_law/test/875,"A city resident commuted to work each day by subway. After purchasing her subway ticket, the resident entered the subway for her ride downtown to where she was employed. Looking for a seat, the resident was walking toward the rear of the subway car when it came to an abrupt halt. As a result of the sudden stop, the resident fell onto a commuter, injuring him. If the commuter asserts a claim against the subway company to recover for his personal injuries, the commuter will probably",C,B
nutrition/test/113,"What nutritional strategies will not improve performance during prolonged endurance type exercise?
",C,B
moral_scenarios/test/156,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I was bored and dug a hole to create a cellar in my backyard. Scenario 2 | I was due to start work soon, so I went to a baseball game.",C,B
professional_law/test/330,"Proposed legislation was offered to a state legislature that would reorganize the state police. The bill created a great deal of controversy, both in and outside the state government. Several leaders of the minority party in the legislature decided to oppose the legislation. One member of the minority party disagreed with his party's opposition to the bill and publicly announced his support for the legislation. The minority party leaders called a caucus to discuss and determine their legislative strategy for floor debate on the bill. When the disagreeing member appeared at the door of the caucus room, he was denied admission because of his anti-party stance. He was also informed that he would be removed from all of his committee assignments. During the caucus, the party members discussed other means of disciplining the member for his party insubordination. It was suggested that they issue a press release in which the party would publicly castigate him for his actions. The leader of the party said that ""the member is a cutthroat politician who is only looking out for where his next buck will come from. ""Which of the following constitutional provisions would give the ousted member his best grounds for challenging his exclusion from the party caucus?",D,C
nutrition/test/93,"In an epidemiological context, what is the population at risk?
",B,D
sociology/test/82,Which of the following is consistent with results of current research conducted in the area of gender roles and the workplace?,D,A
high_school_statistics/test/148,"A reading specialist in a large public school system believes that the more time students spend reading, the better they will do in school. She plans a middle school experiment in which an SRS of 30 eighth graders will be assigned four extra hours of reading per week, an SRS of 30 seventh graders will be assigned two extra hours of reading per week, and an SRS of 30 sixth graders with no extra assigned reading will be a control group. After one school year, the mean GPAs from each group will be compared. Is this a good experimental design?",D,B
marketing/test/7, An imbalance between a consumer's actual and desired state in which recognition that a gap or problem needs resolving is called:,A,A
security_studies/test/11,Which of the following best describes the 'Orient' according to Edward Said?,A,A
professional_law/test/817,"Two cars were driving within the legal speed limit as they approached an intersection. There are no traffic lights, stop signs, or warnings posted at this intersection. Both vehicles entered the intersection simultaneously and collided. In the accident, one of the drivers suffered a broken pelvis and internal injuries. Although the other driver's truck was slightly damaged, he did not suffer any physical injuries. Thereafter, the injured driver sued the city for negligence, claiming that the city failed to provide adequate warning at the intersection, which she contended was particularly dangerous and heavily traveled. At trial, the city attorney offers evidence that the intersection has been the same for 14 years, and no other accidents have occurred during that time. Upon objection by the injured driver's attorney, this evidence should be",A,C
professional_law/test/583,"A doctor was the owner of 1,500 acres of undeveloped timberland. In September 1989, the doctor executed a warranty deed conveying the timberland property to a dentist in fee simple. The dentist recorded immediately in the Grantor Grantee Index. Then in April 1990, the dentist conveyed the same tract to a buyer in fee simple by warranty deed. The buyer paid full market value and recorded the deed at once in the Grantor Grantee Index. The land in question had never been occupied, fenced, or cleared except that between the years 1986 2010, a mining company, one mile from the property, regularly drove trucks over a cleared path pursuant to a 1986 agreement with the doctor. The agreement, which was duly recorded, provided that ""the parties expressly agree and the doctor promises that the doctor and his successors shall refrain from obstructing the said described pathway across the doctor's land, which the mining company and its successors may perpetually use as a road, in consideration of which the mining company and its successors will pay the sum of $700 per annum. ""In 1990, after the conveyance from the dentist, the buyer informed the mining company that he would no longer honor the 1986 agreement permitting the mining company to use the pathway. The mining company brought an action for specific performance. Judgment should be for",A,C
miscellaneous/test/250,Who is an archenemy of the cartoon superhero Underdog?,A,A
high_school_psychology/test/425,The case study of Phineas Gage's brain injury was significant for which of the following reasons?,B,B
professional_law/test/630,"A 15-year-old boy was killed during a gang fight. Two days after his funeral, the boy's mother saw a television program about gang violence and was shocked to see video of herself weeping over the boy's body. The video had been shot by the television reporting team while the boy's body was still lying on a public street. The mother suffered severe emotional distress as a result of seeing the video. If the mother sues the television station for invasion of her privacy and that of her son, will the mother be likely to prevail?",B,D
moral_disputes/test/14, Which of the following is an example of a value-based moral theory?,C,B
miscellaneous/test/232,In what decade did Israel become an independent state?,B,B
philosophy/test/270,Mill claims that a happy life is one of:,C,C
high_school_statistics/test/115,"In the jury pool available for this week, 30 percent of potential jurors are women. A particular trial requires that, out of a jury of 12, at least three are women. If a jury of 12 is to be selected at random from the pool, what is the probability it meets the requirements of this trial?",D,D
high_school_macroeconomics/test/67,If the money supply increases what happens in the money market (assuming money demand is downward sloping)?,B,A
machine_learning/test/57,Statement 1| L2 regularization of linear models tends to make models more sparse than L1 regularization. Statement 2| Residual connections can be found in ResNets and Transformers.,D,A
sociology/test/37,The term 'secondary deviation' refers to:,D,D
moral_scenarios/test/850,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I tried to spike the lemonade with fentanyl. Scenario 2 | When my son told me he was gay, I rejected him.",A,A
philosophy/test/18,What was Clarence Darrow's belief about life's meaning?,A,A
high_school_european_history/test/38,"This question refers to the following information.
Read the following excerpt.
Never were talents of the highest genius of the most exalted kind, more profusely bestowed upon a human being. The genius of Napoleon is astounding. All branches of human knowledge seemed alike familiar to his gigantic mind. His conversations at St. Helena, scattered through the numerous and voluminous memorials of those who gleaned them, are replete with intensest interest. During the long agony of his imprisonment and his death, he conversed with perfect freedom upon the events of his marvelous career, and upon all those subjects or morals, politics, and religion, which most deeply concern the welfare of our race. There is no mind which will not be invigorated by familiarity with these profound thoughts, expressed with so much glow of feeling and energy of diction.
—John S. C. Abbott, historian, Napoleon at St. Helena, 1855
Which of the following features of the French empire under Napoleon does Abbott seem most impressed with?",B,B
college_medicine/test/146,The ATP store in muscle can only supply energy in high intensity exercise for about:,B,B
professional_psychology/test/151,"Social influence occurs when an individual’s attitude, thoughts, feelings, or behaviors are affected by the persuasive effect of others. There are many responses. Which type of social influence represents the Milgram effect?",B,B
moral_scenarios/test/588,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | Upon hearing that her son was captured, I assured her not to worry because the authorities were on the move and would resolve the issue. Scenario 2 | I added hot sauce to my friend's dinner.",D,C
college_computer_science/test/87,"A program that checks spelling works in the following way. A hash table has been defined in which each entry is a Boolean variable initialized to false. A hash function has been applied to each word in the dictionary, and the appropriate entry in the hash table has been set to true. To check the spelling in a document, the hash function is applied to every word in the document, and the appropriate entry in the hash table is examined. Which of the following is (are) correct?
I. true means the word was in the dictionary.
II. false means the word was not in the dictionary.
III. Hash table size should increase with document size.",B,C
conceptual_physics/test/19,Polarization is a property of,A,A
high_school_us_history/test/48,"This question refers to the following information.
""One-half of the people of this nation to-day are utterly powerless to blot from the statute books an unjust law, or to write there a new and a just one. The women, dissatisfied as they are with this form of government, that enforces taxation without representation,—that compels them to obey laws to which they have never given their consent,—that imprisons and hangs them without a trial by a jury of their peers, that robs them, in marriage, of the custody of their own persons, wages and children,—are this half of the people left wholly at the mercy of the other half, in direct violation of the spirit and letter of the declarations of the framers of this government, every one of which was based on the immutable principle of equal rights to all.""
—Susan B. Anthony, ""I Stand Before You Under Indictment"" (speech), 1873
Which of the following was NOT designed to empower the government to regulate the increasing wealth and power of the industrialists in the late nineteenth and early twentieth centuries?",D,B
prehistory/test/202,"In Randall White's view, what do items of personal adornment imply during the Upper Paleolithic period?",C,C
public_relations/test/8,At which stage in the planning process are the objectives decided on?,B,A
professional_law/test/208,"A federal statute extends federal minimum wage requirements to all dry cleaning stores. The statute contains express findings that, when combined, the wages received by dry cleaning workers have a substantial impact on the national economy and on the flow of goods and services in interstate commerce. These findings are supported by information presented to Congress during committee hearings on the legislation. A small dry cleaning store operates exclusively within a community in the center of a geographically large state. It has no customers from outside the state. It employs three workers, each of whom is paid less than the federal minimum wage. Must this dry cleaning store comply with the statute imposing the federal minimum wage requirements on all dry cleaning stores?",D,A
world_religions/test/60, Which goddess is worshipped during the festival of Divali?,B,A
high_school_macroeconomics/test/201,Which of the following is a predictable advantage of expansionary monetary policy in a recession?,B,B
global_facts/test/64,"Consider the following statements: (1) In every country, people think other individuals in their country are less happy than they actually are. (2) In the United States, women’s happiness has increased both absolutely and relative to men. Which of these statements is True/False?",B,B
professional_psychology/test/575,One of the key features for making a differential diagnosis between bulimia nervosa and anorexia nervosa is:,B,D: All of the above
moral_scenarios/test/768,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I went to the farm to see the chickens. Scenario 2 | I was playing cartoon movies in front of my kids.",D,A
human_sexuality/test/117,You have been asked to write a response paper to LeVay's research on brain differences between heterosexuals and homosexuals. Which are plausible criticisms of LeVay's work?,D,D
elementary_mathematics/test/302,"The price of a share of stock for company XYZ at the beginning of the week was $24.75. Over the next five days, the stock gained $2.50 on Monday, lost $3.25 on Tuesday, lost $0.75 on Wednesday, gained $1.25 on Thursday, and gained $4.75 on Friday. What was the price of the share of stock at the end of Friday?",C,D
moral_scenarios/test/457,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | There was no restroom around so I asked the security guard where to find one. Scenario 2 | I added hot sauce to my friend's birthday cake.",C,B
professional_law/test/174,"Believing she was pregnant, a woman went to see a doctor, a licensed gynecologist, because she wanted an abortion. The doctor examined her and determined that she was not pregnant, but decided that he would tell her she was, in order to earn his $500 fee. After receiving the $500, the doctor proceeded to have the woman admitted to a hospital by falsely informing the hospital authorities that she had a benign tumor on her uterus, which he was going to remove. He performed all the surgical procedures appropriate for an abortion under adequate hygienic conditions, but the woman began hemorrhaging and died. The doctor should be found guilty of",B,B
