id,question_de,original_answer,model_answer
high_school_us_history/test/197,"Diese Frage bezieht sich auf die folgenden Informationen:
„Wenn man das auswertet, glaube ich, dass das Herz und die Seele des Konservatismus der Libertarismus ist. Ich denke, dass der Konservatismus eigentlich eine Fehlbezeichnung ist, so wie der Liberalismus eine Fehlbezeichnung für die Liberalen ist—wenn wir zurück in den Tagen der Revolution wären, würden die sogenannten Konservativen von heute die Liberalen sein und die Liberalen wären die Tories. Die Basis des Konservatismus ist ein Wunsch nach weniger Einmischung der Regierung oder weniger zentralisierter Autorität oder mehr individueller Freiheit und das ist eine ziemlich allgemeine Beschreibung dessen, was der Libertarismus ist. Also, ich kann nicht sagen, dass ich allen Dingen, die die aktuelle -Gruppe, die sich selbst Liberalisten im Geiste einer Partei sagen, zustimme, weil ich denke, dass es in jeder politischen Bewegung Nuancen gibt und es gibt Liberalisten, die fast an dem Punkt angelangt sind, wo sie überhaupt keine Regierung oder die Anarchie wollen. Ich glaube, dass es gerechtfertigte Regierungsfunktionen gibt. Es gibt in einer geordneten Gesellschaft einen gerechtfertigten Bedarf nach einer Regierung, die die Freiheit aufrechterhält oder wir haben eine Tyrannei durch Einzelne. Der stärkste Mann im Häuserblock gibt dann den Ton in der Nachbarschaft an. Wir haben eine Regierung, um sicherzustellen, dass nicht jeder einzelne von uns einen Knüppel mit sich tragen muss, um sich selbst zu verteidigen. Aber noch einmal, ich stehe zu meiner Erklärung, dass ich denke, dass der Libertarismus und der Konservatismus denselben Weg gehen.“
Ronald Reagan, Interview veröffentlicht im Magazin Reason, 1975
Alle nachfolgenden sind Faktoren, die zur Bedeutung des Konservatismus in den späten 1970igern und 1980igern beigetragen haben, AUSSER",A,B
high_school_european_history/test/27,"Diese Frage bezieht sich auf die folgenden Informationen:
Als Jude habe ich nie an gemeinschaftliche Schuld geglaubt. Nur die Schuldigen waren schuldig.
Kinder von Mördern sind keine Mörder, sondern Kinder. Ich habe weder den Wunsch noch die Befugnis, über die heutige Generation zu urteilen angesichts der unaussprechlichen Straftaten, die die Hitler-Generation begangen hat.
Aber wir können—und wir müssen—sie zur Verantwortung ziehen, nicht für die Vergangenheit, aber für die Art und Weise, in der sie sich der Vergangenheit erinnern. Und für das, was es mit der Rückbesinnung an die Vergangenheit anstellt. Mit der Erinnerung können Sie Ihrem eigenen Volk helfen, die Geister zu bannen, die über seiner Geschichte schweben. Denken Sie daran, eine Gemeinschaft, die den Gedanken an die Toten nicht bewältigt, wird die Lebenden weiterhin traumatisieren.
Wir erinnern uns an Auschwitz und an alles, was Auschwitz symbolisiert, weil wir glauben, dass trotz der Vergangenheit und ihren Schrecken die Welt es wert ist, erlöst zu werden und die Erlösung kann genauso wie die Wiedergutmachung nur in der Erinnerung gefunden werden.
Elie Wiesel, ""Rückschau eines Überlebenden,"" 1987
Aus der Textpassage kann man schließen, dass Wiesel behauptete, dass die Erinnerung an den Holocaust",A,A
high_school_chemistry/test/158,"Bei der Untersuchung einer chemischen Reaktion durch eine Chemiestudentin konnte sie feststellen, dass die Reaktion bei 1 atm und 298 K nicht spontan abläuft. Sie erfuhr jedoch, dass das Kühlen des Systems mit Trockeneis (-78 °C) die Reaktion spontan werden ließ. Welche der folgenden Kombinationen muss auf diese Reaktion zutreffen?",C,C
professional_law/test/634,"Ein Bundesstaat hat kürzlich medizinische Statistiken veröffentlicht, aus denen hervorgeht, dass sich die Zahl der neuen AIDS-Fälle in diesem Bundesstaat gegenüber dem Vorjahr vervierfacht hat. Im Jahr 2008 meldete der Bundesstaat, dass bei 2.250 Menschen das AIDS-Virus diagnostiziert worden war. Im Jahr 2009 bestätigte der Bundesstaat jedoch, dass sich über 9.000 neue Personen mit dem tödlichen Virus infiziert haben. Um die medizinische Versorgung von AIDS-Patienten in diesem Bundesstaat zu verbessern, hat der Gesetzgeber ein Gesetz erlassen, das öffentliche Mittel zur Unterstützung privater Krankenhäuser bereitstellt. Dem Gesetz zufolge sollte jedes Krankenhaus im Bundesstaat jährlich 5.000 USD für jeden AIDS-Patienten erhalten, der in dieses Krankenhaus aufgenommen wurde und dessen Aufenthaltsdauer eine Woche überstieg. Obwohl dieser Gesetzentwurf zunächst von mehreren Kirchen und anderen Organisationen abgelehnt wurde, überarbeitete die Legislative des Bundesstaates das Gesetz in einem Kompromissversuch, um die Opposition zu besänftigen. In der endgültigen Fassung sah der Gesetzentwurf vor, dass der jährliche Zuschuss von 5.000 USD „nicht an Krankenhäuser gezahlt wird, die Abtreibungen vornehmen“. Welches der folgenden Argumente spricht am stärksten gegen die Verfassungsmäßigkeit des Gesetzes in diesem Bundesstaat?",B,B
college_physics/test/71,"Die im Spektrum des Quasars 3C9 beobachteten Wasserstofflinien sind so weit ins Rote verschoben, dass ihre Wellenlängen dreimal so lang sind wie die des Lichts von ruhenden Wasserstoffatomen in einem Labor auf der Erde. Wird angenommen, dass die Verschiebung ausschließlich auf die relative Bewegung von 3C9 und der Erde zurückzuführen ist, so beträgt die relative Geschwindigkeit des Quasars",C,C
high_school_psychology/test/281,"In einem Cartoon kauert ein Engel auf einer Schulter und ein Teufel auf der anderen Schulter einer Figur, die sich entscheiden muss, ob sie einem Obdachlosen Geld gibt oder nicht. Der Teufel sagt: „Gib ihm nichts, du kannst das Geld besser verwenden als er.“ Der Engel sagt: „Gib ihm Geld, denn er braucht es mehr als du.“ Die Figur gibt dem Obdachlosen die Hälfte ihres Geldes. In einer Freud’schen Interpretation repräsentiert der Engel in Bezug auf die Figur die/das",D,A
high_school_macroeconomics/test/231,"Es ist ein monetaristischer Standpunkt, dass",C,A
moral_disputes/test/187,"Huemer argumentiert, dass es keinen Grund für die Annahme gäbe, die Schäden des Drogenkonsums seien in einem bedeutenden Sinne",D,A
high_school_computer_science/test/60,"Ist I = [1,2,3,4]. Was ist max(l) in Python3?",D,A
professional_medicine/test/47,"Während einer Untersuchung von Nierenglomeruli wird eine gesunde tierische Niere in ein vaskuläres Bad mit konstantem afferenten Arterialdruck von 100 mmHg gegeben. Wenn die efferente Arteriole abgeklemmt wird, verändert sich welche Starling-Kraft in den Glomeruli am ehesten?",D,B
elementary_mathematics/test/369,Ein Schüler hat 3 Puzzles. Jedes Puzzle hat 1.250 Teile. Wie viele Teile haben die Puzzles insgesamt?,B,D
high_school_chemistry/test/12,"Fluorwasserstoff, HF, ist bei 15 °C flüssig. Alle anderen Halogenwasserstoffe (dargestellt durch HX, wobei X ein beliebiges anderes Halogen ist) sind bei der gleichen Temperatur gasförmig. Warum?",C,B
high_school_mathematics/test/191,"Wenn $m$ und $n$ ungerade ganze Zahlen sind, wie viele Terme in der Entwicklung von $(m+n)^6$ sind dann ungerade?",A,A
moral_scenarios/test/796,"Bei welchem der beiden Szenarien handelt der Hauptcharakter (der „Ich“ / „mich“ / „mein“ verwendet) gemäß den Moralstandards der USA in 2020 auf eindeutig moralisch verwerfliche Art? Szenario 1 | Ich warf die Zeitungen in den Waldbrand. Szenario 2 | Ich bat meine Kinder, den Tisch fürs Abendessen zu decken.",B,B
moral_disputes/test/171,"Carens Hauptschlussfolgerung ist, dass",A,A
virology/test/128,Welche der folgenden Substanzen hat die Behandlung von Hepatitis C zuletzt revolutioniert?,A,D
professional_medicine/test/90,"Eine 19-jährige asiatische Studentin besucht den Universitätsarzt, weil sie seit 1 Woche unter einer verstopften Nase, gelegentlicher Rhinorrhö und leichten Halsschmerzen leidet. Vor zwei Tagen fühlte sie sich sehr warm an, sie hat aber ihre Temperatur nicht gemessen. Die medizinische Vorgeschichte ist unauffällig und sie nimmt nur ein orales Verhütungsmittel ein. Es gibt keine Allergien in der Vorgeschichte. Sie raucht nicht. Der BMI liegt bei 22 kg/m2. Die Vitalzeichen sind 38,1°C, Puls bei 88 Schlägen/min, Atemfrequenz 16/min und der Blutdruck 116/74 mmHg. Die körperliche Untersuchung zeigt eine Druckempfindlichkeit über der linken Kieferhöhle ohne purulenten Ausfluss. Hinter dem linken Trommelfell ist klare Flüssigkeit zu erkennen. Die Mandeln sind beidseitig vergrößert und es schmerzt die Patientin, die linken oberen Schneidezähne abzuklopfen. Die linke Stirnhöhle kann nicht durchleuchtet werden. Die Herz-Kreislauf-Untersuchung ist normal. Wovon wird die Sinusitis der Patientin am ehesten verursacht?",B,C
college_biology/test/2,"Um Austrocknung und Verletzungen zu vermeiden, sind die Embryonen von Landwirbeltieren von einer Flüssigkeit umgeben, die vom folgenden System abgesondert wird:",A,A
professional_psychology/test/424,"Sie werden vorgeladen, um vor Gericht eine Erklärung zu einem ehemaligen Klienten abzugeben. Während Ihrer Aussage fragt der Anwalt der Gegenpartei nach vertraulichen Informationen über Ihren Klienten. Was sollten Sie tun?",B,B
sociology/test/54,Der Fortschritt für Afroamerikaner nach der Sklaverei laut W. E. B. Dubois,A,A
virology/test/49,Wie werden neue Polyomaviren beschrieben?,A,C
high_school_macroeconomics/test/212,"Welches der Folgenden ist am ehesten geeignet, das Wirtschaftswachstum zu behindern?",C,A
high_school_government_and_politics/test/111,Alle zehn Jahre ist die Mehrheitsfraktion in den Parlamenten der Bundesstaaten verantwortlich für,A,A
security_studies/test/220,Auf den Ideen und Philosophien welcher Theoretiker basiert der historische Materialismus?,C,C
human_aging/test/108,Welche Art der Reaktionszeit weist den größten Unterschiede bezüglich des Alters auf?,C,C
high_school_chemistry/test/168,"Salpetrige Säure ist eine schwache Säure, während Salpetersäure eine viel stärkere Säure ist, weil",C,C
nutrition/test/233,Welche der folgenden Aussagen über die Proteolyse ist richtig?,A,D
college_medicine/test/160,Welches der folgenden Moleküle ist nicht Teil der DNA?,D,A
philosophy/test/31,"Aquin ist der Ansicht, das letzte Ziel des Menschen sei:",B,B
high_school_chemistry/test/124,Welche der folgenden Aussagen ist kein gutes Maß für relative intermolekulare Anziehungskräfte?,A,C
moral_scenarios/test/508,"Bei welchem der beiden Szenarien handelt der Hauptcharakter (der „Ich“ / „mich“ / „mein“ verwendet) gemäß den Moralstandards der USA in 2020 auf eindeutig moralisch verwerfliche Art? Szenario 1 | Ich bereitete ihr aus ihrem übriggebliebenen Lachs Sushi zu. Szenario 2 | Ich sprang aus einem Fenster, das sich einen Meter über dem Boden befand.",D,B
high_school_european_history/test/14,"Diese Frage bezieht sich auf die folgenden Informationen:
„Ein Geist geht in Europa um-der Geist des Kommunismus. Alle Kräfte des alten Europas sind eine heilige Allianz eingegangen, um diesen Geist auszutreiben, Papst und Zar, Metternich und Guizot, französische Radikale und deutsche Polizeispitzel.
Zwei Dinge ergeben sich aus dieser Tatsache.
I. Der Kommunismus wird bereits von allen europäischen Mächten als eine eigenständige Macht anerkannt.
II. Es ist höchste Zeit, dass die Kommunisten offen der ganzen Welt gegenüber ihre Ansichten, Ziele, Tendenzen veröffentlichen und diesen Kinderreim des Geists des Kommunismus ein Manifest der Partei selbst entgegenstellen.“
Karl Marx und Friedrich Engels, Das Kommunistische Manifest, 1848
In dieser Textpassage scheinen Marx und Engels hauptsächlich davon voreingenommen zu sein, ",D,A
machine_learning/test/70,"Sie haben gerade das Training eines Entscheidungsbaums für die Spam-Klassifizierung abgeschlossen, und sowohl bei den Trainings- als auch bei den Testdatensätzen zeigt sich eine ungewöhnlich schlechte Leistung. Sie wissen, dass Ihre Implementierung keine Fehler aufweist. Was könnte also die Ursache des Problems sein?",A,C
moral_scenarios/test/892,"Bei welchem der beiden Szenarien handelt der Hauptcharakter (der „Ich“ / „mich“ / „mein“ verwendet) gemäß den Moralstandards der USA in 2020 auf eindeutig moralisch verwerfliche Art? Szenario 1 | Ich stelle sicher, dass mein helles Sicherheitslicht nicht auf das Schlafzimmerfenster meines Nachbarn gerichtet ist. Szenario 2 | Ich schlug mit einem Kissen nach meinem besten Freund James.",D,C
world_religions/test/0,Was kann man mit „murtis“ übersetzen?,D,A
high_school_macroeconomics/test/46,"Der Gouverneursrat der FED besteht aus Mitgliedern, deren Amtszeit jeweils -Jahr beträgt.",B,B
conceptual_physics/test/199,Ermitteln Sie die Geschwindigkeit einer Welle durch Multiplikation ihrer Frequenz mit ihrer,B,A
electrical_engineering/test/68,Eine Verriegelung ist ________ empfindlich,C,A
medical_genetics/test/86,Welcher der folgenden Trisomie-Karyotypen hat die geringsten Auswirkungen auf die menschliche Entwicklung?,A,A
moral_scenarios/test/386,Bei welchem der beiden Szenarien handelt der Hauptcharakter (der „Ich“ / „mich“ / „mein“ verwendet) gemäß den Moralstandards der USA in 2020 auf eindeutig moralisch verwerfliche Art? Szenario 1 | Ich öffnete den Benzintank und befüllte ihn mit Benzin. Szenario 2 | Er ging zur Arbeit und ich heiratete einen anderen.,C,C
high_school_world_history/test/219,"Diese Frage bezieht sich auf die folgenden Informationen:
„Auf dieses stellt sich eine Frage, ob es besser ist geliebt als gefürchtet oder gefürchtet als geliebt zu werden? Die Frage kann damit beantwortet werden, dass man wünschen könnte, dass beides richtig ist, aber weil es schwierig ist, beides in einer Person zu vereinen, ist es viel sicherer, gefürchtet als geliebt zu werden, wenn man auf eine der beiden Optionen verzichten muss. Weil das im Allgemeinen von Männern zu behaupten ist, dass sie undankbar, launisch, falsch, feig, habgierig sind, und so lange alles gelingt, sind sie ganz und gar dein; sie werden dir ihr Blut, Vermögen, Leben und ihre Kinder anbieten, wie oben gesagt, wenn das Bedürfnis weit entfernt ist, aber wenn es näher kommt, wenden sie sich gegen dich. Und dieser Prinz, der sich vollkommen auf ihre Versprechen verlassen hat, hat es versäumt, andere Vorkehrungen zu treffen, ist ruiniert, weil Freundschaften, die man mit Geld und nicht mit Größe oder Edelmut des Geistes erlangt, können tatsächlich verdient sein, aber sie sind nicht gesichert, und in Zeiten der Not, kann man sich nicht auf sie verlassen; und Männer haben weniger Skrupel, jemand, der geliebt wird, vor den Kopf zu stoßen als jemand, der gefürchtet wird, denn die Liebe wird bewahrt durch das Band der Verpflichtung, das auf Grund der Niedertracht der Männer bei jeder Gelegenheit zu ihrem Vorteil zerbrochen werden kann, aber die Furcht bewahrt sie durch die Furcht vor Strafe, die nie versagt.“
Nicolo Machiavelli, Der Prinz, ca. 1513 n. Chr.
Machiavellis Abhandlung ist am besten im Zusammenhang mit welcher der folgenden Zeiten zu verstehen?",C,C
marketing/test/80,"Diese Waren werden nur selten gekauft, wiederholt verwendet und bergen ein relativ hohes Verbraucherrisiko:",D,C
high_school_physics/test/123,"Wie lange bräuchte ein Auto, das aus dem Stand mit 5 m/s^2 gleichmäßig in einer geraden Linie beschleunigt, um eine Strecke von 200 m zurückzulegen?",A,B
high_school_psychology/test/292,Welcher Teil von Phineas Gages Gehirn wurde durch seinen Unfall beim Schienenlegen geschädigt?,D,B
world_religions/test/6,"Welchen Begriff verwendete Guru Nanak, um das „göttliche Wort“ als Teil der göttlichen Offenbarung zu bezeichnen?",A,A
professional_medicine/test/131,"Ein 37-jähriger Mann mit Diabetes mellitus Typ 1 wird in ein Krankenhaus eingewiesen, weil seine Blutzuckerwerte seit 2 Monaten nicht ausreichend kontrolliert sind. Trotz der beständig schlechten Werte will er entlassen werden. Er berichtet, dass er seit 3 Monaten unter Erschöpfung, Reizbarkeit und einem Gefühl der Hoffnungslosigkeit leidet. Er sagt, dass er sich nicht an seinen Arzneimittelplan für die Diabetes hält, weil er es „manchmal vergisst“. Er hat es vermieden, sich mit seiner Familie und Freunden zu treffen, weil ihm nicht danach ist, aber er gibt zu, dass er einsam ist. Er ist 2 Tage nicht aufgestanden, weswegen seine Frau einen Krankenwagen rief und ihn ins Krankenhaus einwies. Vor der Einweisung ins Krankenhaus nahm er nur Insulin ein, obwohl er oft Dosen vergisst. Er trinkt keinen Alkohol. Er ist 168 cm groß und wiegt 100 kg. Sein BMI liegt bei 36 kg/m2. Seine Temperatur liegt bei 37°C, Puls bei 68 Schlägen/min, Atemfrequenz bei 18/min und Blutdruck bei 150/85 mmHg. Bei der Untersuchung des Geisteszustands erscheint der Patient müde und emotional abgestumpt. Es gibt keine Hinweise auf Suizidgedanken. Im Nüchternzustand liegt die Glucosekonzentration im Serum bei 120 mg/dl. Welche Behandlungsmaßnahme sollte als nächstes eingeleitet werden?",A,C
high_school_geography/test/190,Welche der folgenden supranationalen Organisationen ist keine Wirtschaftsunion?,D,A
moral_disputes/test/199,Laut Aquin lautet das erste Gebot des Naturrechts,A,A
elementary_mathematics/test/107,"Betrachte das Zahlenmuster 5, 9, 13, 17, 21, 25, 29. Welche Regel könnte verwendet werden, um das Muster zu bilden?",C,C
miscellaneous/test/524,"Welche der Folgenden ist eine Bakterienart, die unter anaeroben Bedingungen in Lebensmittel ein Toxin bildet?",A,A
prehistory/test/130,Etwa 1900 Jahre vor unserer Zeit waren die zentralen Elemente der Maya-Kultur etabliert. Zu ihnen zählten NICHT:,C,A
elementary_mathematics/test/166,Schätze 153 + 44. Die Summe liegt zwischen welchen Zahlen?,A,A
college_physics/test/42,"Unter bestimmten Bedingungen wird ein Elektronenstrahl, der auf eine Kristalloberfläche auftrifft, gebeugt, und es kann ein Streumuster des Strahls erhalten werden. Wie groß ist die ungefähre kinetische Energie der Elektronen, die benötigt wird, um das Muster zu sehen? (Nehmen wir an, der Gitterabstand des Kristalls betrage 0,4 nm.)",C,A
astronomy/test/69,Ein Sandsack hat auf der Erde eine Masse von 5 kg und ein Gewicht von 50 N. Welche Masse und welches Gewicht hat dieser Sandsack auf einem Planeten mit der halben Schwerkraft im Vergleich zur Erde?,C,A
professional_psychology/test/204,Auf welchem Konditionierungskonzept beruhen „Time-out-Techniken“ zur Manipulation von Verhaltensweisen?,A,C
miscellaneous/test/212,Welche der folgenden Namen bezeichnet auch einen Golfkurs?,B,A
